,st,st binned,gender,education,income,policy type,vehicle class,customer lifetime value,monthly premium auto,number of open complaints,total claim amount
55,arizona,central,,college,46623.0,corporate auto,four-door car,8028.803803165787,91.0,0.384,436.8
56,california,west region,,college,64749.0,special auto,four-door car,8028.803803165787,64.0,0.384,302.56519
57,arizona,central,,high school or below,0.0,personal auto,suv,8028.803803165787,101.0,0.384,484.8
58,oregon,north west,,high school or below,16969.0,personal auto,suv,8028.803803165787,124.0,0.384,704.768111
59,oregon,north west,,master,11621.0,personal auto,four-door car,8028.803803165787,108.0,0.384,518.4
60,arizona,central,,bachelor,17622.0,personal auto,four-door car,8028.803803165787,65.0,0.384,312.0
61,california,west region,,bachelor,11489.0,personal auto,two-door car,8028.803803165787,105.0,0.384,504.0
62,oregon,north west,,bachelor,0.0,personal auto,two-door car,8028.803803165787,94.0,0.384,863.327324
63,california,west region,,high school or below,66525.0,personal auto,suv,8028.803803165787,100.0,0.384,104.331355
64,arizona,central,,bachelor,0.0,personal auto,four-door car,8028.803803165787,63.0,0.384,676.391482
65,washington,east,,college,33663.0,personal auto,four-door car,8028.803803165787,73.0,0.384,350.4
66,oregon,north west,,college,22547.0,corporate auto,suv,8028.803803165787,112.0,0.384,537.6
67,arizona,central,,high school or below,61486.0,personal auto,two-door car,8028.803803165787,97.0,0.384,465.258644
68,oregon,north west,,bachelor,0.0,personal auto,two-door car,8028.803803165787,95.0,0.384,456.0
69,california,west region,,college,29879.0,personal auto,four-door car,8028.803803165787,102.0,0.384,500.254235
70,oregon,north west,,high school or below,93011.0,personal auto,suv,8028.803803165787,113.0,0.384,281.451042
71,oregon,north west,,master,65186.0,personal auto,two-door car,8028.803803165787,65.0,0.384,5.434505
72,oregon,north west,,master,26840.0,personal auto,four-door car,8028.803803165787,64.0,0.384,307.2
73,oregon,north west,,bachelor,0.0,personal auto,sports car,8028.803803165787,104.0,0.384,982.399613
74,oregon,north west,,bachelor,75644.0,personal auto,two-door car,8028.803803165787,65.0,0.384,467.803638
75,oregon,north west,,bachelor,38984.0,personal auto,four-door car,8028.803803165787,73.0,0.384,350.4
76,oregon,north west,,high school or below,71811.0,personal auto,four-door car,8028.803803165787,71.0,0.384,29.03416
77,nevada,central,,college,20961.0,personal auto,four-door car,8028.803803165787,67.0,0.384,321.6
78,washington,east,female,master,41275.0,personal auto,four-door car,8028.803803165787,96.0,0.384,41.122303
79,california,west region,,bachelor,61321.0,personal auto,luxury car,8028.803803165787,186.0,0.384,427.63121
80,california,west region,,college,0.0,personal auto,two-door car,8028.803803165787,77.0,0.384,25.807685
81,california,west region,,high school or below,51066.0,personal auto,four-door car,8028.803803165787,74.0,0.384,787.993313
82,california,west region,,doctor,34378.0,personal auto,suv,8028.803803165787,102.0,0.384,489.6
83,nevada,central,,master,43072.0,personal auto,four-door car,8028.803803165787,63.0,0.384,302.4
84,oregon,north west,,college,25222.0,personal auto,four-door car,8028.803803165787,90.0,0.384,475.623251
85,washington,east,female,bachelor,77552.0,corporate auto,four-door car,8028.803803165787,68.0,0.384,45.215059
86,california,west region,,college,23091.0,personal auto,four-door car,8028.803803165787,96.0,0.384,460.8
87,california,west region,,bachelor,48269.0,corporate auto,four-door car,8028.803803165787,69.0,0.384,282.151207
88,oregon,north west,,bachelor,32720.0,personal auto,four-door car,8028.803803165787,67.0,0.384,321.6
89,california,west region,,college,20396.0,personal auto,four-door car,8028.803803165787,76.0,0.384,364.8
90,oregon,north west,,college,21513.0,personal auto,two-door car,8028.803803165787,119.0,0.384,679.827592
91,washington,east,female,college,0.0,personal auto,two-door car,8028.803803165787,87.0,0.384,46.041452
92,oregon,north west,,bachelor,80744.0,corporate auto,four-door car,8028.803803165787,63.0,0.384,11.879037
93,oregon,north west,,bachelor,52822.0,corporate auto,two-door car,8028.803803165787,67.0,0.384,350.529033
94,california,west region,,high school or below,0.0,personal auto,four-door car,8028.803803165787,77.0,0.384,863.3947
95,oregon,north west,,bachelor,69738.0,personal auto,four-door car,8028.803803165787,74.0,0.384,492.127532
96,arizona,central,,master,17780.0,personal auto,suv,8028.803803165787,109.0,0.384,132.588288
97,california,west region,,bachelor,18107.0,personal auto,four-door car,8028.803803165787,62.0,0.384,297.6
98,arizona,central,,bachelor,57740.0,personal auto,four-door car,8028.803803165787,74.0,0.384,269.905129
99,oregon,north west,,college,32627.0,personal auto,two-door car,8028.803803165787,76.0,0.384,380.036697
100,california,west region,,college,0.0,personal auto,suv,8028.803803165787,107.0,0.384,513.6
101,california,west region,,college,0.0,personal auto,four-door car,8028.803803165787,70.0,0.384,425.266308
102,oregon,north west,,bachelor,65795.0,corporate auto,two-door car,8028.803803165787,62.0,0.384,49.011099
103,california,west region,,college,60475.0,personal auto,four-door car,8028.803803165787,107.0,0.384,513.6
104,california,west region,,high school or below,0.0,personal auto,suv,8028.803803165787,130.0,0.384,936.0
105,oregon,north west,,bachelor,41837.0,personal auto,four-door car,8028.803803165787,88.0,0.384,142.062768
106,california,west region,,bachelor,32303.0,personal auto,four-door car,8028.803803165787,65.0,0.384,45.152521
107,oregon,north west,,high school or below,0.0,personal auto,suv,8028.803803165787,117.0,0.384,561.6
108,california,west region,,bachelor,40531.0,personal auto,two-door car,8028.803803165787,74.0,0.384,30.567357
109,oregon,north west,,college,79898.0,corporate auto,four-door car,8028.803803165787,62.0,0.384,271.606799
110,california,west region,,college,56398.0,personal auto,four-door car,8028.803803165787,85.0,0.384,408.0
111,washington,east,male,high school or below,71600.0,personal auto,two-door car,8028.803803165787,63.0,0.384,46.158117
112,arizona,central,,college,27804.0,personal auto,suv,8028.803803165787,109.0,0.384,784.8
113,oregon,north west,,bachelor,45506.0,personal auto,four-door car,8028.803803165787,66.0,0.384,316.8
114,washington,east,female,master,99428.0,personal auto,four-door car,8028.803803165787,6464.0,0.384,48.046869
115,california,west region,,high school or below,0.0,corporate auto,suv,8028.803803165787,102.0,0.384,489.6
116,oregon,north west,,high school or below,20993.0,personal auto,suv,8028.803803165787,133.0,0.384,638.4
117,arizona,central,,high school or below,37839.0,personal auto,two-door car,8028.803803165787,86.0,0.384,465.633954
118,california,west region,,bachelor,92711.0,personal auto,two-door car,8028.803803165787,62.0,0.384,368.400146
119,california,west region,,college,74665.0,corporate auto,four-door car,8028.803803165787,78.0,0.384,236.902001
120,washington,east,female,college,61108.0,personal auto,four-door car,8028.803803165787,89.0,0.384,49.451117
121,california,west region,,bachelor,46833.0,personal auto,sports car,8028.803803165787,112.0,0.384,64.109663
122,oregon,north west,,high school or below,88768.0,personal auto,two-door car,8028.803803165787,68.0,0.384,326.4
123,california,west region,,high school or below,28262.0,personal auto,luxury suv,8028.803803165787,192.0,0.384,921.6
124,nevada,central,,bachelor,33555.0,personal auto,four-door car,8028.803803165787,63.0,0.384,101.89645
125,oregon,north west,,college,42780.0,personal auto,four-door car,8028.803803165787,113.0,0.384,542.4
126,oregon,north west,,master,58850.0,personal auto,four-door car,8028.803803165787,78.0,0.384,143.747794
127,arizona,central,,college,21880.0,special auto,four-door car,8028.803803165787,97.0,0.384,424.077159
128,oregon,north west,,college,25251.0,personal auto,four-door car,8028.803803165787,66.0,0.384,316.8
129,washington,east,female,high school or below,25317.0,personal auto,two-door car,8028.803803165787,71.0,0.384,50.422181
130,arizona,central,,high school or below,24188.0,personal auto,sports car,8028.803803165787,109.0,0.384,523.2
131,nevada,central,,bachelor,41611.0,special auto,four-door car,8028.803803165787,74.0,0.384,113.801497
132,oregon,north west,,bachelor,28406.0,personal auto,four-door car,8028.803803165787,72.0,0.384,192.87572
133,arizona,central,,college,69833.0,personal auto,four-door car,8028.803803165787,118.0,0.384,828.662719
134,arizona,central,,high school or below,0.0,corporate auto,four-door car,8028.803803165787,74.0,0.384,532.8
135,arizona,central,,high school or below,0.0,personal auto,suv,8028.803803165787,117.0,0.384,975.107098
136,oregon,north west,,high school or below,80536.0,special auto,sports car,8028.803803165787,119.0,0.384,53.798708
137,washington,east,female,bachelors,88891.0,personal auto,four-door car,8028.803803165787,89.0,0.384,50.528355
138,oregon,north west,,college,97732.0,personal auto,four-door car,8028.803803165787,79.0,0.384,289.9122
139,arizona,central,female,bachelor,61222.0,special auto,four-door car,8028.803803165787,89.0,0.384,392.604371
140,oregon,north west,male,college,0.0,personal auto,two-door car,8028.803803165787,74.0,0.384,721.242206
141,arizona,central,male,master,50335.0,personal auto,suv,8028.803803165787,140.0,0.384,456.52385
142,california,west region,female,high school or below,0.0,personal auto,sports car,8028.803803165787,127.0,0.384,1087.995426
143,washington,east,female,doctor,82210.0,personal auto,four-door car,8028.803803165787,68.0,0.384,51.961915
144,oregon,north west,female,high school or below,0.0,personal auto,four-door car,8028.803803165787,96.0,0.384,460.8
145,nevada,central,male,bachelor,64495.0,corporate auto,four-door car,8028.803803165787,92.0,0.384,251.992083
146,california,west region,female,college,0.0,corporate auto,four-door car,8028.803803165787,72.0,0.384,345.6
147,arizona,central,female,bachelor,28859.0,corporate auto,two-door car,8028.803803165787,67.0,0.384,321.6
148,arizona,central,female,high school or below,77330.0,personal auto,four-door car,8028.803803165787,99.0,0.384,99.257608
149,oregon,north west,male,college,0.0,corporate auto,four-door car,8028.803803165787,105.0,0.384,504.0
150,washington,east,female,high school or below,33060.0,personal auto,four-door car,8028.803803165787,117.0,0.384,56.731578
151,washington,east,male,master,42557.0,personal auto,four-door car,8028.803803165787,65.0,0.384,57.562324
152,arizona,central,male,high school or below,26372.0,personal auto,suv,8028.803803165787,126.0,0.384,604.8
153,arizona,central,female,bachelor,17514.0,personal auto,suv,8028.803803165787,127.0,0.384,8.312729
154,california,west region,female,bachelor,89270.0,personal auto,four-door car,8028.803803165787,74.0,0.384,316.599228
155,california,west region,male,high school or below,29757.0,personal auto,four-door car,8028.803803165787,65.0,0.384,312.0
156,oregon,north west,male,college,51814.0,personal auto,four-door car,8028.803803165787,92.0,0.384,56.300724
157,oregon,north west,female,bachelor,24028.0,personal auto,four-door car,8028.803803165787,82.0,0.384,393.6
158,arizona,central,male,college,28142.0,personal auto,sports car,8028.803803165787,105.0,0.384,701.708239
159,arizona,central,female,bachelor,52705.0,personal auto,two-door car,8028.803803165787,64.0,0.384,128.705563
160,california,west region,male,high school or below,0.0,corporate auto,two-door car,8028.803803165787,63.0,0.384,679.368378
161,washington,east,female,high school or below,54040.0,personal auto,suv,8028.803803165787,103.0,0.384,59.987126
162,california,west region,female,college,0.0,personal auto,suv,8028.803803165787,118.0,0.384,566.4
163,washington,east,female,doctor,22492.0,personal auto,two-door car,8028.803803165787,85.0,0.384,61.654262
164,california,west region,male,bachelor,0.0,personal auto,four-door car,8028.803803165787,77.0,0.384,554.4
165,oregon,north west,male,master,21876.0,personal auto,four-door car,8028.803803165787,68.0,0.384,465.41477
166,california,west region,female,bachelor,0.0,personal auto,four-door car,8028.803803165787,69.0,0.384,496.8
167,california,west region,female,high school or below,0.0,personal auto,four-door car,8028.803803165787,61.0,0.384,292.8
168,oregon,north west,female,high school or below,70699.0,personal auto,four-door car,8028.803803165787,82.0,0.384,256.813837
169,california,west region,female,high school or below,0.0,personal auto,four-door car,8028.803803165787,74.0,0.384,355.2
170,california,west region,male,college,27501.0,personal auto,four-door car,8028.803803165787,63.0,0.384,542.319401
171,oregon,north west,female,doctor,15897.0,personal auto,four-door car,8028.803803165787,101.0,0.384,303.148399
172,nevada,central,female,college,25141.0,personal auto,four-door car,8028.803803165787,73.0,0.384,25.438063
173,nevada,central,female,college,0.0,personal auto,four-door car,8028.803803165787,61.0,0.384,292.8
174,california,west region,male,high school or below,51066.0,personal auto,four-door car,8028.803803165787,74.0,0.384,787.993313
175,california,west region,female,bachelor,28358.0,personal auto,sports car,8028.803803165787,117.0,0.384,84.024413
176,washington,east,female,doctor,62530.0,personal auto,four-door car,8028.803803165787,95.0,0.384,61.693771
177,arizona,central,female,bachelor,90972.0,personal auto,two-door car,8028.803803165787,74.0,0.384,232.926145
178,washington,east,female,bachelor,63110.0,personal auto,four-door car,8028.803803165787,72.0,0.384,68.179721
179,california,west region,female,bachelor,29549.0,personal auto,sports car,8028.803803165787,104.0,0.384,710.433775
180,california,west region,female,bachelor,0.0,personal auto,four-door car,8028.803803165787,115.0,0.384,552.0
181,nevada,central,female,bachelor,39411.0,personal auto,luxury car,8028.803803165787,217.0,0.384,1122.658899
182,oregon,north west,male,high school or below,21709.0,personal auto,four-door car,8028.803803165787,62.0,0.384,408.374746
183,nevada,central,male,bachelor,67890.0,personal auto,four-door car,8028.803803165787,85.0,0.384,408.0
184,california,west region,male,bachelor,0.0,personal auto,suv,8028.803803165787,110.0,0.384,792.0
185,california,west region,female,high school or below,84311.0,personal auto,suv,8028.803803165787,111.0,0.384,532.8
186,california,west region,female,college,99316.0,corporate auto,suv,8028.803803165787,114.0,0.384,754.358929
187,arizona,central,female,bachelor,54507.0,personal auto,suv,8028.803803165787,138.0,0.384,702.990032
188,california,west region,female,bachelor,64586.0,personal auto,four-door car,8028.803803165787,76.0,0.384,206.837111
189,oregon,north west,male,college,61709.0,personal auto,four-door car,8028.803803165787,82.0,0.384,275.395894
190,california,west region,male,master,94656.0,special auto,suv,8028.803803165787,111.0,0.384,459.738128
191,california,west region,female,high school or below,0.0,special auto,two-door car,8028.803803165787,69.0,0.384,496.8
192,california,west region,male,bachelor,61085.0,personal auto,two-door car,8028.803803165787,70.0,0.384,336.0
193,oregon,north west,female,bachelor,89284.0,personal auto,two-door car,8028.803803165787,67.0,0.384,321.6
194,arizona,central,female,high school or below,0.0,personal auto,four-door car,8028.803803165787,63.0,0.384,302.4
195,washington,east,female,bachelor,31686.0,personal auto,four-door car,8028.803803165787,81.0,0.384,430.994107
196,oregon,north west,male,high school or below,56855.0,corporate auto,luxury suv,8028.803803165787,255.0,0.384,1836.0
197,oregon,north west,male,bachelor,53703.0,special auto,four-door car,8028.803803165787,67.0,0.384,67.632476
198,washington,east,female,high school or below,0.0,personal auto,two-door car,8028.803803165787,96.0,0.384,844.481918
199,california,west region,male,college,20396.0,personal auto,four-door car,8028.803803165787,76.0,0.384,364.8
200,california,west region,female,master,27679.0,personal auto,suv,8028.803803165787,150.0,0.384,722.486994
201,nevada,central,female,bachelor,23904.0,personal auto,suv,8028.803803165787,123.0,0.384,590.4
202,arizona,central,female,high school or below,65351.0,corporate auto,four-door car,8028.803803165787,69.0,0.384,481.027516
203,california,west region,male,college,0.0,personal auto,suv,8028.803803165787,113.0,0.384,1124.427734
204,california,west region,male,high school or below,0.0,personal auto,four-door car,8028.803803165787,63.0,0.384,669.682001
205,california,west region,male,college,0.0,personal auto,suv,8028.803803165787,116.0,0.384,1284.093173
206,california,west region,female,college,64459.0,personal auto,four-door car,8028.803803165787,72.0,0.384,240.259479
207,california,west region,male,college,32961.0,corporate auto,suv,8028.803803165787,190.0,0.384,912.0
208,oregon,north west,female,high school or below,71416.0,corporate auto,suv,8028.803803165787,116.0,0.384,556.8
209,washington,east,female,bachelor,68964.0,personal auto,four-door car,8028.803803165787,78.0,0.384,115.086827
210,california,west region,male,high school or below,78108.0,personal auto,two-door car,8028.803803165787,98.0,0.384,470.4
211,california,west region,male,college,10621.0,special auto,four-door car,8028.803803165787,67.0,0.384,321.6
212,washington,east,male,college,84910.0,corporate auto,two-door car,8028.803803165787,95.0,0.384,383.167471
213,california,west region,female,high school or below,77493.0,special auto,four-door car,8028.803803165787,70.0,0.384,307.963291
214,arizona,central,male,college,81097.0,personal auto,four-door car,8028.803803165787,74.0,0.384,355.2
215,oregon,north west,female,college,96610.0,corporate auto,four-door car,8028.803803165787,85.0,0.384,520.364752
216,oregon,north west,male,college,30110.0,corporate auto,sports car,8028.803803165787,159.0,0.384,466.436375
217,oregon,north west,female,high school or below,22081.0,special auto,two-door car,8028.803803165787,84.0,0.384,451.670309
218,washington,east,female,high school or below,0.0,personal auto,sports car,8028.803803165787,112.0,0.384,537.6
219,california,west region,male,college,98473.0,personal auto,four-door car,8028.803803165787,72.0,0.384,345.6
220,oregon,north west,female,bachelor,97431.0,personal auto,four-door car,8028.803803165787,74.0,0.384,355.2
221,california,west region,male,bachelor,93870.0,personal auto,four-door car,8028.803803165787,69.0,0.384,331.2
222,nevada,central,male,high school or below,50366.0,personal auto,four-door car,8028.803803165787,72.0,0.384,428.734656
223,washington,east,male,high school or below,34498.0,personal auto,two-door car,8028.803803165787,83.0,0.384,398.4
224,oregon,north west,female,college,16552.0,personal auto,suv,8028.803803165787,103.0,0.384,494.4
225,oregon,north west,female,college,26787.0,personal auto,four-door car,8028.803803165787,77.0,0.384,369.6
226,nevada,central,male,college,0.0,personal auto,two-door car,8028.803803165787,74.0,0.384,831.752839
227,nevada,central,female,high school or below,43860.0,corporate auto,four-door car,8028.803803165787,65.0,0.384,156.124914
228,arizona,central,male,high school or below,21474.0,corporate auto,suv,8028.803803165787,114.0,0.384,373.428187
229,california,west region,male,bachelor,18174.0,corporate auto,four-door car,8028.803803165787,66.0,0.384,395.934815
230,arizona,central,female,bachelor,0.0,corporate auto,four-door car,8028.803803165787,73.0,0.384,350.4
231,arizona,central,male,college,60920.0,personal auto,two-door car,8028.803803165787,64.0,0.384,231.201886
232,arizona,central,male,high school or below,41520.0,personal auto,four-door car,8028.803803165787,90.0,0.384,289.904105
233,oregon,north west,female,bachelor,0.0,personal auto,suv,8028.803803165787,152.0,0.384,729.6
234,arizona,central,male,high school or below,0.0,personal auto,two-door car,8028.803803165787,68.0,0.384,326.4
235,california,west region,male,bachelor,72208.0,personal auto,two-door car,8028.803803165787,73.0,0.384,350.4
236,california,west region,female,bachelor,53863.0,personal auto,four-door car,8028.803803165787,63.0,0.384,105.765111
237,washington,east,male,college,66446.0,corporate auto,suv,8028.803803165787,136.0,0.384,639.464548
238,washington,east,male,college,0.0,personal auto,four-door car,8028.803803165787,61.0,0.384,292.8
239,washington,east,female,bachelor,64997.0,personal auto,four-door car,8028.803803165787,63.0,0.384,383.442328
240,nevada,central,female,high school or below,64460.0,corporate auto,two-door car,8028.803803165787,66.0,0.384,316.8
241,arizona,central,female,college,46618.0,personal auto,four-door car,8028.803803165787,67.0,0.384,99.085943
242,oregon,north west,female,college,0.0,corporate auto,four-door car,8028.803803165787,64.0,0.384,307.2
243,california,west region,male,college,49988.0,personal auto,two-door car,8028.803803165787,84.0,0.384,566.935022
244,california,west region,female,college,0.0,personal auto,two-door car,8028.803803165787,91.0,0.384,436.8
245,california,west region,male,bachelor,16269.0,corporate auto,two-door car,8028.803803165787,86.0,0.384,412.8
246,arizona,central,female,bachelor,72006.0,personal auto,four-door car,8028.803803165787,64.0,0.384,307.2
247,arizona,central,female,high school or below,0.0,personal auto,four-door car,8028.803803165787,81.0,0.384,388.8
248,oregon,north west,male,bachelor,0.0,corporate auto,luxury suv,8028.803803165787,245.0,0.384,2345.413441
249,california,west region,male,master,44320.0,personal auto,four-door car,8028.803803165787,67.0,0.384,321.6
250,arizona,central,female,high school or below,19782.0,personal auto,two-door car,8028.803803165787,108.0,0.384,773.470977
251,nevada,central,female,bachelor,63933.0,personal auto,two-door car,8028.803803165787,70.0,0.384,424.883448
252,arizona,central,male,doctor,28224.0,personal auto,suv,8028.803803165787,109.0,0.384,523.2
253,washington,east,female,college,21073.0,personal auto,suv,8028.803803165787,106.0,0.384,508.8
254,oregon,north west,male,bachelor,63243.0,personal auto,four-door car,8028.803803165787,77.0,0.384,364.240307
255,nevada,central,male,high school or below,20993.0,personal auto,suv,8028.803803165787,133.0,0.384,638.4
256,oregon,north west,female,bachelor,94827.0,personal auto,suv,8028.803803165787,135.0,0.384,354.729129
257,california,west region,female,master,39161.0,personal auto,two-door car,8028.803803165787,63.0,0.384,283.995953
258,washington,east,male,bachelor,37534.0,personal auto,four-door car,8028.803803165787,84.0,0.384,403.2
259,oregon,north west,female,bachelor,80210.0,corporate auto,four-door car,8028.803803165787,65.0,0.384,20.543176
260,california,west region,male,bachelor,0.0,personal auto,four-door car,8028.803803165787,62.0,0.384,385.115437
261,california,west region,female,college,30110.0,personal auto,four-door car,8028.803803165787,64.0,0.384,140.165035
262,arizona,central,female,college,21708.0,personal auto,four-door car,8028.803803165787,68.0,0.384,326.4
263,arizona,central,male,high school or below,94731.0,personal auto,four-door car,8028.803803165787,67.0,0.384,321.6
264,california,west region,male,bachelor,32375.0,personal auto,four-door car,8028.803803165787,83.0,0.384,398.4
265,oregon,north west,male,college,16531.0,corporate auto,four-door car,8028.803803165787,63.0,0.384,102.879769
266,arizona,central,female,master,32006.0,corporate auto,four-door car,8028.803803165787,94.0,0.384,56.868289
267,arizona,central,female,bachelor,81676.0,personal auto,two-door car,8028.803803165787,72.0,0.384,463.158502
268,california,west region,male,college,71038.0,corporate auto,four-door car,8028.803803165787,86.0,0.384,205.444066
269,arizona,central,female,high school or below,0.0,corporate auto,sports car,8028.803803165787,103.0,0.384,741.6
270,nevada,central,female,master,20832.0,personal auto,two-door car,8028.803803165787,65.0,0.384,56.371967
271,washington,east,male,high school or below,0.0,personal auto,suv,8028.803803165787,113.0,0.384,813.6
272,oregon,north west,male,high school or below,52405.0,personal auto,four-door car,8028.803803165787,103.0,0.384,494.4
273,arizona,central,female,high school or below,0.0,personal auto,sports car,8028.803803165787,133.0,0.384,795.864079
274,washington,east,female,bachelor,26583.0,personal auto,suv,8028.803803165787,1005.0,0.384,614.4
275,oregon,north west,male,master,25486.0,special auto,two-door car,8028.803803165787,65.0,0.384,72.438681
276,arizona,central,male,college,24065.0,corporate auto,four-door car,8028.803803165787,111.0,0.384,532.8
277,arizona,central,female,high school or below,70435.0,personal auto,four-door car,8028.803803165787,116.0,0.384,67.881546
278,california,west region,male,college,0.0,personal auto,two-door car,8028.803803165787,76.0,0.384,402.636829
279,oregon,north west,female,high school or below,39679.0,personal auto,two-door car,8028.803803165787,92.0,0.384,641.388616
280,nevada,central,male,college,0.0,personal auto,four-door car,8028.803803165787,89.0,0.384,342.481173
281,california,west region,male,bachelor,0.0,personal auto,two-door car,8028.803803165787,69.0,0.384,331.2
282,nevada,central,male,high school or below,53565.0,personal auto,four-door car,8028.803803165787,71.0,0.384,340.8
283,washington,east,male,bachelor,37574.0,personal auto,two-door car,8028.803803165787,66.0,0.384,412.101933
284,washington,east,male,bachelor,48259.0,personal auto,two-door car,8028.803803165787,108.0,0.384,73.700573
285,arizona,central,female,high school or below,78532.0,personal auto,four-door car,8028.803803165787,78.0,0.384,374.4
